train_source_normal,train_target_normal,test_source_normal,test_bearing_source,test_fan_source,test_gearbox_source,test_slider_source,test_ToyCar_source,test_ToyTrain_source,test_valve_source,test_source_anomaly,test_target_normal,test_bearing_target,test_fan_target,test_gearbox_target,test_slider_target,test_ToyCar_target,test_ToyTrain_target,test_valve_target,test_target_anomaly
0,990.0,7050.0,7000.0,7200.0,7400.0,7600.0,7800.0,8000.0,8200.0,7000.0,7150.0,7100.0,7300.0,7500.0,7700.0,7900.0,8100.0,8300.0,7100.0
1,991.0,7051.0,7001.0,7201.0,7401.0,7601.0,7801.0,8001.0,8201.0,7001.0,7151.0,7101.0,7301.0,7501.0,7701.0,7901.0,8101.0,8301.0,7101.0
2,992.0,7052.0,7002.0,7202.0,7402.0,7602.0,7802.0,8002.0,8202.0,7002.0,7152.0,7102.0,7302.0,7502.0,7702.0,7902.0,8102.0,8302.0,7102.0
3,993.0,7053.0,7003.0,7203.0,7403.0,7603.0,7803.0,8003.0,8203.0,7003.0,7153.0,7103.0,7303.0,7503.0,7703.0,7903.0,8103.0,8303.0,7103.0
4,994.0,7054.0,7004.0,7204.0,7404.0,7604.0,7804.0,8004.0,8204.0,7004.0,7154.0,7104.0,7304.0,7504.0,7704.0,7904.0,8104.0,8304.0,7104.0
5,995.0,7055.0,7005.0,7205.0,7405.0,7605.0,7805.0,8005.0,8205.0,7005.0,7155.0,7105.0,7305.0,7505.0,7705.0,7905.0,8105.0,8305.0,7105.0
6,996.0,7056.0,7006.0,7206.0,7406.0,7606.0,7806.0,8006.0,8206.0,7006.0,7156.0,7106.0,7306.0,7506.0,7706.0,7906.0,8106.0,8306.0,7106.0
7,997.0,7057.0,7007.0,7207.0,7407.0,7607.0,7807.0,8007.0,8207.0,7007.0,7157.0,7107.0,7307.0,7507.0,7707.0,7907.0,8107.0,8307.0,7107.0
8,998.0,7058.0,7008.0,7208.0,7408.0,7608.0,7808.0,8008.0,8208.0,7008.0,7158.0,7108.0,7308.0,7508.0,7708.0,7908.0,8108.0,8308.0,7108.0
9,999.0,7059.0,7009.0,7209.0,7409.0,7609.0,7809.0,8009.0,8209.0,7009.0,7159.0,7109.0,7309.0,7509.0,7709.0,7909.0,8109.0,8309.0,7109.0
10,1990.0,7060.0,7010.0,7210.0,7410.0,7610.0,7810.0,8010.0,8210.0,7010.0,7160.0,7110.0,7310.0,7510.0,7710.0,7910.0,8110.0,8310.0,7110.0
11,1991.0,7061.0,7011.0,7211.0,7411.0,7611.0,7811.0,8011.0,8211.0,7011.0,7161.0,7111.0,7311.0,7511.0,7711.0,7911.0,8111.0,8311.0,7111.0
12,1992.0,7062.0,7012.0,7212.0,7412.0,7612.0,7812.0,8012.0,8212.0,7012.0,7162.0,7112.0,7312.0,7512.0,7712.0,7912.0,8112.0,8312.0,7112.0
13,1993.0,7063.0,7013.0,7213.0,7413.0,7613.0,7813.0,8013.0,8213.0,7013.0,7163.0,7113.0,7313.0,7513.0,7713.0,7913.0,8113.0,8313.0,7113.0
14,1994.0,7064.0,7014.0,7214.0,7414.0,7614.0,7814.0,8014.0,8214.0,7014.0,7164.0,7114.0,7314.0,7514.0,7714.0,7914.0,8114.0,8314.0,7114.0
15,1995.0,7065.0,7015.0,7215.0,7415.0,7615.0,7815.0,8015.0,8215.0,7015.0,7165.0,7115.0,7315.0,7515.0,7715.0,7915.0,8115.0,8315.0,7115.0
16,1996.0,7066.0,7016.0,7216.0,7416.0,7616.0,7816.0,8016.0,8216.0,7016.0,7166.0,7116.0,7316.0,7516.0,7716.0,7916.0,8116.0,8316.0,7116.0
17,1997.0,7067.0,7017.0,7217.0,7417.0,7617.0,7817.0,8017.0,8217.0,7017.0,7167.0,7117.0,7317.0,7517.0,7717.0,7917.0,8117.0,8317.0,7117.0
18,1998.0,7068.0,7018.0,7218.0,7418.0,7618.0,7818.0,8018.0,8218.0,7018.0,7168.0,7118.0,7318.0,7518.0,7718.0,7918.0,8118.0,8318.0,7118.0
19,1999.0,7069.0,7019.0,7219.0,7419.0,7619.0,7819.0,8019.0,8219.0,7019.0,7169.0,7119.0,7319.0,7519.0,7719.0,7919.0,8119.0,8319.0,7119.0
20,2990.0,7070.0,7020.0,7220.0,7420.0,7620.0,7820.0,8020.0,8220.0,7020.0,7170.0,7120.0,7320.0,7520.0,7720.0,7920.0,8120.0,8320.0,7120.0
21,2991.0,7071.0,7021.0,7221.0,7421.0,7621.0,7821.0,8021.0,8221.0,7021.0,7171.0,7121.0,7321.0,7521.0,7721.0,7921.0,8121.0,8321.0,7121.0
22,2992.0,7072.0,7022.0,7222.0,7422.0,7622.0,7822.0,8022.0,8222.0,7022.0,7172.0,7122.0,7322.0,7522.0,7722.0,7922.0,8122.0,8322.0,7122.0
