Index,Label
0,bearing_source_train_normal_0001_pro_A_vel_4_loc_A
1,bearing_source_train_normal_0002_pro_A_vel_4_loc_A
2,bearing_source_train_normal_0003_pro_A_vel_4_loc_A
3,bearing_source_train_normal_0004_pro_A_vel_4_loc_A
4,bearing_source_train_normal_0005_pro_A_vel_4_loc_A
5,bearing_source_train_normal_0006_pro_A_vel_4_loc_A
6,bearing_source_train_normal_0007_pro_A_vel_4_loc_A
7,bearing_source_train_normal_0008_pro_A_vel_4_loc_A
8,bearing_source_train_normal_0009_pro_A_vel_4_loc_A
9,bearing_source_train_normal_0010_pro_A_vel_4_loc_A
10,bearing_source_train_normal_0011_pro_A_vel_4_loc_A
11,bearing_source_train_normal_0012_pro_A_vel_4_loc_A
12,bearing_source_train_normal_0013_pro_A_vel_4_loc_A
13,bearing_source_train_normal_0014_pro_A_vel_4_loc_A
14,bearing_source_train_normal_0015_pro_A_vel_4_loc_A
15,bearing_source_train_normal_0016_pro_A_vel_4_loc_A
16,bearing_source_train_normal_0017_pro_A_vel_4_loc_A
17,bearing_source_train_normal_0018_pro_A_vel_4_loc_A
18,bearing_source_train_normal_0019_pro_A_vel_4_loc_A
19,bearing_source_train_normal_0020_pro_A_vel_4_loc_A
20,bearing_source_train_normal_0021_pro_A_vel_4_loc_A
21,bearing_source_train_normal_0022_pro_A_vel_4_loc_A
22,bearing_source_train_normal_0023_pro_A_vel_4_loc_A
23,bearing_source_train_normal_0024_pro_A_vel_4_loc_A
24,bearing_source_train_normal_0025_pro_A_vel_4_loc_A
25,bearing_source_train_normal_0026_pro_A_vel_4_loc_A
26,bearing_source_train_normal_0027_pro_A_vel_4_loc_A
27,bearing_source_train_normal_0028_pro_A_vel_4_loc_A
28,bearing_source_train_normal_0029_pro_A_vel_4_loc_A
29,bearing_source_train_normal_0030_pro_A_vel_4_loc_A
30,bearing_source_train_normal_0031_pro_A_vel_4_loc_A
31,bearing_source_train_normal_0032_pro_A_vel_4_loc_A
32,bearing_source_train_normal_0033_pro_A_vel_4_loc_A
33,bearing_source_train_normal_0034_pro_A_vel_4_loc_A
34,bearing_source_train_normal_0035_pro_A_vel_4_loc_A
35,bearing_source_train_normal_0036_pro_A_vel_4_loc_A
36,bearing_source_train_normal_0037_pro_A_vel_4_loc_A
37,bearing_source_train_normal_0038_pro_A_vel_4_loc_A
38,bearing_source_train_normal_0039_pro_A_vel_4_loc_A
39,bearing_source_train_normal_0040_pro_A_vel_4_loc_A
40,bearing_source_train_normal_0041_pro_A_vel_4_loc_A
41,bearing_source_train_normal_0042_pro_A_vel_4_loc_A
42,bearing_source_train_normal_0043_pro_A_vel_4_loc_A
43,bearing_source_train_normal_0044_pro_A_vel_4_loc_A
44,bearing_source_train_normal_0045_pro_A_vel_4_loc_A
45,bearing_source_train_normal_0046_pro_A_vel_4_loc_A
46,bearing_source_train_normal_0047_pro_A_vel_4_loc_A
47,bearing_source_train_normal_0048_pro_A_vel_4_loc_A
48,bearing_source_train_normal_0049_pro_A_vel_4_loc_A
49,bearing_source_train_normal_0050_pro_A_vel_4_loc_A
50,bearing_source_train_normal_0051_pro_A_vel_4_loc_A
51,bearing_source_train_normal_0052_pro_A_vel_4_loc_A
52,bearing_source_train_normal_0053_pro_A_vel_4_loc_A
53,bearing_source_train_normal_0054_pro_A_vel_4_loc_A
54,bearing_source_train_normal_0055_pro_A_vel_4_loc_A
55,bearing_source_train_normal_0056_pro_A_vel_4_loc_A
56,bearing_source_train_normal_0057_pro_A_vel_4_loc_A
57,bearing_source_train_normal_0058_pro_A_vel_4_loc_A
58,bearing_source_train_normal_0059_pro_A_vel_4_loc_A
59,bearing_source_train_normal_0060_pro_A_vel_4_loc_A
60,bearing_source_train_normal_0061_pro_A_vel_4_loc_A
61,bearing_source_train_normal_0062_pro_A_vel_12_loc_A
62,bearing_source_train_normal_0063_pro_A_vel_12_loc_A
63,bearing_source_train_normal_0064_pro_A_vel_12_loc_A
64,bearing_source_train_normal_0065_pro_A_vel_12_loc_A
65,bearing_source_train_normal_0066_pro_A_vel_12_loc_A
66,bearing_source_train_normal_0067_pro_A_vel_12_loc_A
67,bearing_source_train_normal_0068_pro_A_vel_12_loc_A
68,bearing_source_train_normal_0069_pro_A_vel_12_loc_A
69,bearing_source_train_normal_0070_pro_A_vel_12_loc_A
70,bearing_source_train_normal_0071_pro_A_vel_12_loc_A
71,bearing_source_train_normal_0072_pro_A_vel_12_loc_A
72,bearing_source_train_normal_0073_pro_A_vel_12_loc_A
73,bearing_source_train_normal_0074_pro_A_vel_12_loc_A
74,bearing_source_train_normal_0075_pro_A_vel_12_loc_A
75,bearing_source_train_normal_0076_pro_A_vel_12_loc_A
76,bearing_source_train_normal_0077_pro_A_vel_12_loc_A
77,bearing_source_train_normal_0078_pro_A_vel_12_loc_A
78,bearing_source_train_normal_0079_pro_A_vel_12_loc_A
79,bearing_source_train_normal_0080_pro_A_vel_12_loc_A
80,bearing_source_train_normal_0081_pro_A_vel_12_loc_A
81,bearing_source_train_normal_0082_pro_A_vel_12_loc_A
82,bearing_source_train_normal_0083_pro_A_vel_12_loc_A
83,bearing_source_train_normal_0084_pro_A_vel_12_loc_A
84,bearing_source_train_normal_0085_pro_A_vel_12_loc_A
85,bearing_source_train_normal_0086_pro_A_vel_12_loc_A
86,bearing_source_train_normal_0087_pro_A_vel_12_loc_A
87,bearing_source_train_normal_0088_pro_A_vel_12_loc_A
88,bearing_source_train_normal_0089_pro_A_vel_12_loc_A
89,bearing_source_train_normal_0090_pro_A_vel_12_loc_A
90,bearing_source_train_normal_0091_pro_A_vel_12_loc_A
91,bearing_source_train_normal_0092_pro_A_vel_12_loc_A
92,bearing_source_train_normal_0093_pro_A_vel_12_loc_A
93,bearing_source_train_normal_0094_pro_A_vel_12_loc_A
94,bearing_source_train_normal_0095_pro_A_vel_12_loc_A
95,bearing_source_train_normal_0096_pro_A_vel_12_loc_A
96,bearing_source_train_normal_0097_pro_A_vel_12_loc_A
97,bearing_source_train_normal_0098_pro_A_vel_12_loc_A
98,bearing_source_train_normal_0099_pro_A_vel_12_loc_A
99,bearing_source_train_normal_0100_pro_A_vel_12_loc_A
100,bearing_source_train_normal_0101_pro_A_vel_12_loc_A
101,bearing_source_train_normal_0102_pro_A_vel_12_loc_A
102,bearing_source_train_normal_0103_pro_A_vel_12_loc_A
103,bearing_source_train_normal_0104_pro_A_vel_12_loc_A
104,bearing_source_train_normal_0105_pro_A_vel_12_loc_A
105,bearing_source_train_normal_0106_pro_A_vel_12_loc_A
106,bearing_source_train_normal_0107_pro_A_vel_12_loc_A
107,bearing_source_train_normal_0108_pro_A_vel_12_loc_A
108,bearing_source_train_normal_0109_pro_A_vel_12_loc_A
109,bearing_source_train_normal_0110_pro_A_vel_12_loc_A
110,bearing_source_train_normal_0111_pro_A_vel_12_loc_A
111,bearing_source_train_normal_0112_pro_A_vel_12_loc_A
112,bearing_source_train_normal_0113_pro_A_vel_12_loc_A
113,bearing_source_train_normal_0114_pro_A_vel_12_loc_A
114,bearing_source_train_normal_0115_pro_A_vel_12_loc_A
